G#,G,F#,F,E,D#,D,C#,C,B,A#,A
0.377358491,0.0377358491,0,0.0377358491,0.0125786164,0,0.452830189,0.00628930818,0,0,0.0251572327,0.0503144654
0.0188679245,0.00628930818,0.119496855,0.00628930818,0.0125786164,0,0,0.698113208,0,0,0.0377358491,0.100628931
0.0125786164,0.00628930818,0.0817610063,0.00628930818,0.00628930818,0.0188679245,0.710691824,0,0.0251572327,0.0314465409,0.0943396226,0.00628930818
0.509433962,0.00628930818,0,0,0.0503144654,0,0.358490566,0.00628930818,0,0,0,0.0691823899
0.00628930818,0.452830189,0.0503144654,0,0.00628930818,0.0691823899,0.320754717,0,0,0.0314465409,0.00628930818,0.0566037736
0.106918239,0.0251572327,0,0.0125786164,0.0251572327,0,0.710691824,0,0,0,0.0125786164,0.106918239
0.00628930818,0.0125786164,0.188679245,0.00628930818,0.0125786164,0,0.0125786164,0.666666667,0,0.00628930818,0.0251572327,0.0628930818
0.188679245,0.0943396226,0,0.0251572327,0.157232704,0,0.396226415,0.0503144654,0,0.00628930818,0.0251572327,0.0566037736
0.477987421,0.0125786164,0,0.00628930818,0.0251572327,0,0.41509434,0,0,0,0.00628930818,0.0566037736
0.289308176,0.00628930818,0,0.0188679245,0.0503144654,0,0.377358491,0,0,0,0.163522013,0.0943396226
0.022556391,0,0.165413534,0,0.045112782,0.0827067669,0.428571429,0.045112782,0.022556391,0.045112782,0.0526315789,0.0902255639
0.00628930818,0.00628930818,0.0754716981,0,0.0125786164,0,0.00628930818,0.660377358,0.0377358491,0.0440251572,0.100628931,0.0503144654
0.0125786164,0.0817610063,0,0,0.0377358491,0.00628930818,0.729559748,0,0,0.0188679245,0.0440251572,0.0691823899
0.389937107,0.0566037736,0,0.0251572327,0.0188679245,0,0.421383648,0,0,0.00628930818,0.0125786164,0.0691823899
0.402515723,0.0125786164,0,0.0125786164,0,0,0.465408805,0.00628930818,0,0.00628930818,0.0251572327,0.0691823899
0.0188679245,0.0188679245,0.0628930818,0.00628930818,0.0125786164,0.00628930818,0.742138365,0,0.0125786164,0.0251572327,0.0817610063,0.0125786164
0.0377358491,0,0.144654088,0,0.0125786164,0,0.0188679245,0.628930818,0,0.00628930818,0.0628930818,0.0880503145
0.0377358491,0,0.358490566,0.00628930818,0.0880503145,0,0.289308176,0.0377358491,0,0.125786164,0.0251572327,0.0314465409
0.238993711,0.00628930818,0.320754717,0.0125786164,0.100628931,0.0188679245,0.257861635,0,0,0,0.0125786164,0.0314465409
0.270440252,0,0,0,0,0,0.547169811,0,0,0,0,0.182389937
0.245283019,0,0,0.0754716981,0.0188679245,0,0.597484277,0,0,0.0188679245,0,0.0440251572
0.685534591,0,0.0314465409,0,0.100628931,0.100628931,0,0,0.0377358491,0.0125786164,0.0125786164,0.0188679245
0.396226415,0,0.0188679245,0,0.0691823899,0.471698113,0,0,0,0,0.0125786164,0.0314465409
0.540880503,0,0.0251572327,0,0.0628930818,0.27672956,0,0,0,0.0503144654,0.0377358491,0.00628930818
0.0503144654,0.0251572327,0.34591195,0.0125786164,0.0314465409,0.0817610063,0.320754717,0,0,0.0377358491,0.0817610063,0.0125786164
